" Year/State/  Union Territory","Values","Type of educational institution"
" 2001","272","Universities/ Deemed to be Institutions of National Importance"
" 2002","304","Universities/ Deemed to be Institutions of National Importance"
" 2003","304","Universities/ Deemed to be Institutions of National Importance"
" 2004","343","Universities/ Deemed to be Institutions of National Importance"
" 2005","350","Universities/ Deemed to be Institutions of National Importance"
" 2006","368","Universities/ Deemed to be Institutions of National Importance"
" 2007","409","Universities/ Deemed to be Institutions of National Importance"
" 2008","436","Universities/ Deemed to be Institutions of National Importance"
"  2009","NA","Universities/ Deemed to be Institutions of National Importance"
" 2001","79","Research Institutions"
" 2002","81","Research Institutions"
" 2003","85","Research Institutions"
" 2004","136","Research Institutions"
" 2005","140","Research Institutions"
" 2006","140","Research Institutions"
" 2007","NA","Research Institutions"
" 2008","NA","Research Institutions"
"  2009","NA","Research Institutions"
" 2001","8737","College for General Education"
" 2002","9166","College for General Education"
" 2003","9427","College for General Education"
" 2004","10377","College for General Education"
" 2005","11698","College for General Education"
" 2006","11458","College for General Education"
" 2007","14146","College for General Education"
" 2008","14321","College for General Education"
"  2009","NA","College for General Education"
" 2001","2409","Professional Education Engg. Tech., Arch, Medical & Education College"
" 2002","2610","Professional Education Engg. Tech., Arch, Medical & Education College"
" 2003","2751","Professional Education Engg. Tech., Arch, Medical & Education College"
" 2004","3201","Professional Education Engg. Tech., Arch, Medical & Education College"
" 2005","5284","Professional Education Engg. Tech., Arch, Medical & Education College"
" 2006","7024","Professional Education Engg. Tech., Arch, Medical & Education College"
" 2007","7980","Professional Education Engg. Tech., Arch, Medical & Education College"
" 2008","8325","Professional Education Engg. Tech., Arch, Medical & Education College"
"  2009","NA","Professional Education Engg. Tech., Arch, Medical & Education College"
" 2001","1926","Other  Colleges (Law, Mana- Management,  Agriculture etc.)"
" 2002","1982","Other  Colleges (Law, Mana- Management,  Agriculture etc.)"
" 2003","1991","Other  Colleges (Law, Mana- Management,  Agriculture etc.)"
" 2004","2431","Other  Colleges (Law, Mana- Management,  Agriculture etc.)"
" 2005","2513","Other  Colleges (Law, Mana- Management,  Agriculture etc.)"
" 2006","2769","Other  Colleges (Law, Mana- Management,  Agriculture etc.)"
" 2007","3864","Other  Colleges (Law, Mana- Management,  Agriculture etc.)"
" 2008","3292","Other  Colleges (Law, Mana- Management,  Agriculture etc.)"
"  2009","NA","Other  Colleges (Law, Mana- Management,  Agriculture etc.)"
" 2001","1160","Polytechnics"
" 2002","1173","Polytechnics"
" 2003","1105","Polytechnics"
" 2004","1171","Polytechnics"
" 2005","1274","Polytechnics"
" 2006","1296","Polytechnics"
" 2007","1742","Polytechnics"
" 2008","1914","Polytechnics"
"  2009","NA","Polytechnics"
" 2001","39","Board of Sr. Secondary/ Secondary Education"
" 2002","39","Board of Sr. Secondary/ Secondary Education"
" 2003","39","Board of Sr. Secondary/ Secondary Education"
" 2004","41","Board of Sr. Secondary/ Secondary Education"
" 2005","41","Board of Sr. Secondary/ Secondary Education"
" 2006","39","Board of Sr. Secondary/ Secondary Education"
" 2007","47","Board of Sr. Secondary/ Secondary Education"
" 2008","42","Board of Sr. Secondary/ Secondary Education"
"  2009","48","Board of Sr. Secondary/ Secondary Education"
" 2001","60840","   Schools for general education Pre-  Primary"
" 2002","64712","   Schools for general education Pre-  Primary"
" 2003","63167","   Schools for general education Pre-  Primary"
" 2004","63596","   Schools for general education Pre-  Primary"
" 2005","67157","   Schools for general education Pre-  Primary"
" 2006","60886","   Schools for general education Pre-  Primary"
" 2007","66165","   Schools for general education Pre-  Primary"
" 2008","66878","   Schools for general education Pre-  Primary"
"  2009","67822","   Schools for general education Pre-  Primary"
" 2001","664041","   Schools for general education Primary/ Jr.Basic Schools"
" 2002","651382","   Schools for general education Primary/ Jr.Basic Schools"
" 2003","712239","   Schools for general education Primary/ Jr.Basic Schools"
" 2004","767520","   Schools for general education Primary/ Jr.Basic Schools"
" 2005","772568","   Schools for general education Primary/ Jr.Basic Schools"
" 2006","784852","   Schools for general education Primary/ Jr.Basic Schools"
" 2007","787827","   Schools for general education Primary/ Jr.Basic Schools"
" 2008","789444","   Schools for general education Primary/ Jr.Basic Schools"
"  2009","823162","   Schools for general education Primary/ Jr.Basic Schools"
" 2001","219626","   Schools for general education Middle/ Sr.Basic Schools"
" 2002","245274","   Schools for general education Middle/ Sr.Basic Schools"
" 2003","262286","   Schools for general education Middle/ Sr.Basic Schools"
" 2004","274731","   Schools for general education Middle/ Sr.Basic Schools"
" 2005","288493","   Schools for general education Middle/ Sr.Basic Schools"
" 2006","305584","   Schools for general education Middle/ Sr.Basic Schools"
" 2007","325174","   Schools for general education Middle/ Sr.Basic Schools"
" 2008","336638","   Schools for general education Middle/ Sr.Basic Schools"
"  2009","367745","   Schools for general education Middle/ Sr.Basic Schools"
" 2001","133492","   Schools for general education   High/   Higher Secondary"
" 2002","137207","   Schools for general education   High/   Higher Secondary"
" 2003","145962","   Schools for general education   High/   Higher Secondary"
" 2004","152049","   Schools for general education   High/   Higher Secondary"
" 2005","106024","   Schools for general education   High/   Higher Secondary"
" 2006","169568","   Schools for general education   High/   Higher Secondary"
" 2007","172990","   Schools for general education   High/   Higher Secondary"
" 2008","183648","   Schools for general education   High/   Higher Secondary"
"  2009","190643","   Schools for general education   High/   Higher Secondary"
" 2001","1077999","Total for Schools for General Education"
" 2002","1098575","Total for Schools for General Education"
" 2003","1183654","Total for Schools for General Education"
" 2004","1257896","Total for Schools for General Education"
" 2005","1234242","Total for Schools for General Education"
" 2006","1320890","Total for Schools for General Education"
" 2007","1352156","Total for Schools for General Education"
" 2008","1376650","Total for Schools for General Education"
"  2009","1449420","Total for Schools for General Education"
" 2001","4302","Technical/ Industrial/ Arts & Craft"
" 2002","4647","Technical/ Industrial/ Arts & Craft"
" 2003","4877","Technical/ Industrial/ Arts & Craft"
" 2004","5114","Technical/ Industrial/ Arts & Craft"
" 2005","5465","Technical/ Industrial/ Arts & Craft"
" 2006","5114","Technical/ Industrial/ Arts & Craft"
" 2007","NA","Technical/ Industrial/ Arts & Craft"
" 2008","NA","Technical/ Industrial/ Arts & Craft"
"  2009"," NA","Technical/ Industrial/ Arts & Craft"
" 2001","1175","Teacher Training Schools"
" 2002","1202","Teacher Training Schools"
" 2003","1303","Teacher Training Schools"
" 2004","1465","Teacher Training Schools"
" 2005","2021","Teacher Training Schools"
" 2006","2572","Teacher Training Schools"
" 2007","NA","Teacher Training Schools"
" 2008","25696","Teacher Training Schools"
"  2009","26892","Teacher Training Schools"
" 2001","1083476"," Grand total for all the School level"
" 2002","1104424"," Grand total for all the School level"
" 2003","1189834"," Grand total for all the School level"
" 2004","1264475"," Grand total for all the School level"
" 2005","1241728"," Grand total for all the School level"
" 2006","1328576"," Grand total for all the School level"
" 2007","1352156"," Grand total for all the School level"
" 2008","1376650"," Grand total for all the School level"
"  2009","1476312"," Grand total for all the School level"
