"Year","Number of employees","Designation"
"2001","7","Staff Scientists"
"2002","7","Staff Scientists"
"2003","8","Staff Scientists"
"2004","10","Staff Scientists"
"2005","10","Staff Scientists"
"2006","12","Staff Scientists"
"2007","13","Staff Scientists"
"2008","14","Staff Scientists"
"2009","15","Staff Scientists"
"2010","15","Staff Scientists"
"2011","17","Staff Scientists"
"2001","1","Administrative Staffs"
"2002","3","Administrative Staffs"
"2003","4","Administrative Staffs"
"2004","5","Administrative Staffs"
"2005","22","Administrative Staffs"
"2006","20","Administrative Staffs"
"2007","23","Administrative Staffs"
"2008","22","Administrative Staffs"
"2009","22","Administrative Staffs"
"2010","20","Administrative Staffs"
"2011","20","Administrative Staffs"
"2001","5","Ph.D. Student"
"2002","9","Ph.D. Student"
"2003","9","Ph.D. Student"
"2004","9","Ph.D. Student"
"2005","6","Ph.D. Student"
"2006","2","Ph.D. Student"
"2007","9","Ph.D. Student"
"2008","14","Ph.D. Student"
"2009","13","Ph.D. Student"
"2010","20","Ph.D. Student"
"2011","18","Ph.D. Student"
"2001","7","JRF/SRF"
"2002","19","JRF/SRF"
"2003","27","JRF/SRF"
"2004","43","JRF/SRF"
"2005","68","JRF/SRF"
"2006","69","JRF/SRF"
"2007","70","JRF/SRF"
"2008","90","JRF/SRF"
"2009","86","JRF/SRF"
"2010","93","JRF/SRF"
"2011","112","JRF/SRF"
"2001","6","Technical Staffs"
"2002","7","Technical Staffs"
"2003","7","Technical Staffs"
"2004","14","Technical Staffs"
"2005","17","Technical Staffs"
"2006","21","Technical Staffs"
"2007","20","Technical Staffs"
"2008","20","Technical Staffs"
"2009","20","Technical Staffs"
"2010","21","Technical Staffs"
"2011","21","Technical Staffs"
