"Years","Values","Type of vehicles and Road types"
"1951",14.8,"Vehicles-Two Wheelers"
"1961",12.5,"Vehicles-Two Wheelers"
"1971",20.7,"Vehicles-Two Wheelers"
"1981",16.3,"Vehicles-Two Wheelers"
"1991",18.4,"Vehicles-Two Wheelers"
"2001",10.5,"Vehicles-Two Wheelers"
"2007",10.4,"Vehicles-Two Wheelers"
"2008",10.3,"Vehicles-Two Wheelers"
"2009",10.3,"Vehicles-Two Wheelers"
"1951",8.2,"Vehicles-Cars and Jeeps and Taxis"
"1961",6.9,"Vehicles-Cars and Jeeps and Taxis"
"1971",8.2,"Vehicles-Cars and Jeeps and Taxis"
"1981",5.4,"Vehicles-Cars and Jeeps and Taxis"
"1991",9.8,"Vehicles-Cars and Jeeps and Taxis"
"2001",9.1,"Vehicles-Cars and Jeeps and Taxis"
"2007",9.5,"Vehicles-Cars and Jeeps and Taxis"
"2008",9.6,"Vehicles-Cars and Jeeps and Taxis"
"2009",9.6,"Vehicles-Cars and Jeeps and Taxis"
"1951",6.7,"Vehicles-Buses"
"1961",5.3,"Vehicles-Buses"
"1971",5.1,"Vehicles-Buses"
"1981",5.6,"Vehicles-Buses"
"1991",7.4,"Vehicles-Buses"
"2001",6.7,"Vehicles-Buses"
"2007",9.2,"Vehicles-Buses"
"2008",9,"Vehicles-Buses"
"2009",8.7,"Vehicles-Buses"
"1951",7.7,"Vehicles-Goods Vehicles"
"1961",7.4,"Vehicles-Goods Vehicles"
"1971",7.4,"Vehicles-Goods Vehicles"
"1981",4.9,"Vehicles-Goods Vehicles"
"1991",9.4,"Vehicles-Goods Vehicles"
"2001",8.1,"Vehicles-Goods Vehicles"
"2007",8.7,"Vehicles-Goods Vehicles"
"2008",8.7,"Vehicles-Goods Vehicles"
"2009",8.7,"Vehicles-Goods Vehicles"
"1951",14.4,"Vehicles-Others*"
"1961",26.5,"Vehicles-Others*"
"1971",15,"Vehicles-Others*"
"1981",18.1,"Vehicles-Others*"
"1991",10.9,"Vehicles-Others*"
"2001",8.6,"Vehicles-Others*"
"2007",7.8,"Vehicles-Others*"
"2008",7.8,"Vehicles-Others*"
"2009",7.7,"Vehicles-Others*"
"1951",10.8,"Vehicles-Total"
"1961",8.1,"Vehicles-Total"
"1971",10.9,"Vehicles-Total"
"1981",11.2,"Vehicles-Total"
"1991",14.8,"Vehicles-Total"
"2001",9.9,"Vehicles-Total"
"2007",9.9,"Vehicles-Total"
"2008",9.8,"Vehicles-Total"
"2009",9.8,"Vehicles-Total"
"1951",2.2,"Roads-NHs"
"1961",1.9,"Roads-NHs"
"1971",0,"Roads-NHs"
"1981",2.9,"Roads-NHs"
"1991",0.6,"Roads-NHs"
"2001",5.5,"Roads-NHs"
"2007",4.4,"Roads-NHs"
"2008",4.1,"Roads-NHs"
"2009","NA","Roads-NHs"
"1951",3.2,"Roads-SHs and PWD"
"1961",4,"Roads-SHs and PWD"
"1971",2.6,"Roads-SHs and PWD"
"1981",4.5,"Roads-SHs and PWD"
"1991",2.1,"Roads-SHs and PWD"
"2001",3.1,"Roads-SHs and PWD"
"2007",2.8,"Roads-SHs and PWD"
"2008",2.8,"Roads-SHs and PWD"
"2009","NA","Roads-SHs and PWD"
"1951",4.5,"Roads-Rural"
"1961","NA","Roads-Rural"
"1971",6,"Roads-Rural"
"1981",5.9,"Roads-Rural"
"1991",4,"Roads-Rural"
"2001",1.4,"Roads-Rural"
"2007",4.1,"Roads-Rural"
"2008",4,"Roads-Rural"
"2009","NA","Roads-Rural"
"1951","NA","Roads-Urban"
"1961","NA","Roads-Urban"
"1971",4.5,"Roads-Urban"
"1981",5.5,"Roads-Urban"
"1991",4.3,"Roads-Urban"
"2001",3,"Roads-Urban"
"2007",3,"Roads-Urban"
"2008",2.9,"Roads-Urban"
"2009","NA","Roads-Urban"
"1951",4.2,"Roads-Project"
"1961","NA","Roads-Project"
"1971","NA","Roads-Project"
"1981",3.5,"Roads-Project"
"1991",1.2,"Roads-Project"
"2001",0.6,"Roads-Project"
"2007",1.6,"Roads-Project"
"2008",1.5,"Roads-Project"
"2009","NA","Roads-Project"
"1951","NA","Roads-Total"
"1961",2.7,"Roads-Total"
"1971",5.7,"Roads-Total"
"1981",5,"Roads-Total"
"1991",3,"Roads-Total"
"2001",2.1,"Roads-Total"
"2007",3.5,"Roads-Total"
"2008",3.4,"Roads-Total"
"2009","NA","Roads-Total"
