"Years","Values","Description"
2009,30756,"Total Geographical Area"
2009,95,"Area Under Forest"
2009,8593,"Land Not Available for Cultivation"
2009,2050,"Land put to Non Agriculture use"
2009,1351,"Barren and  Uncultivable Land"
2009,1337,"Permanent Pastures and Grazing Land"
2009,19,"Land Under Miscellaneous Trees, Crops and Groves not included"
2009,1160,"Cultivable Waste Land in not Area Sown"
2009,620,"Follow land Other than Current Follows"
2009,582,"Current Follows"
2009,15044,"Net Area Sown"
2009,5716,"Area Sown more than once"
2009,20760,"Gross Cropped Area"
2010,30756,"Total Geographical Area"
2010,95,"Area Under Forest"
2010,8586,"Land Not Available for Cultivation"
2010,2091,"Land put to Non Agriculture use"
2010,1341,"Barren and  Uncultivable Land"
2010,1338,"Permanent Pastures and Grazing Land"
2010,24,"Land Under Miscellaneous Trees, Crops and Groves not included"
2010,1147,"Cultivable Waste Land in not Area Sown"
2010,608,"Follow land Other than Current Follows"
2010,547,"Current Follows"
2010,15075,"Net Area Sown"
2010,6440,"Area Sown more than once"
2010,21515,"Gross Cropped Area"
2011,30756,"Total Geographical Area"
2011,95,"Area Under Forest"
2011,8594,"Land Not Available for Cultivation"
2011,2089,"Land put to Non Agriculture use"
2011,1335,"Barren and  Uncultivable Land"
2011,1328,"Permanent Pastures and Grazing Land"
2011,24,"Land Under Miscellaneous Trees, Crops and Groves not included"
2011,1088,"Cultivable Waste Land in not Area Sown"
2011,568,"Follow land Other than Current Follows"
2011,503,"Current Follows"
2011,15223,"Net Area Sown"
2011,6926,"Area Sown more than once"
2011,22149,"Gross Cropped Area"
2012,30756,"Total Geographical Area"
2012,95,"Area Under Forest"
2012,8588,"Land Not Available for Cultivation"
2012,2119,"Land put to Non Agriculture use"
2012,1341,"Barren and  Uncultivable Land"
2012,1321,"Permanent Pastures and Grazing Land"
2012,21,"Land Under Miscellaneous Trees, Crops and Groves not included"
2012,1056,"Cultivable Waste Land in not Area Sown"
2012,510,"Follow land Other than Current Follows"
2012,539,"Current Follows"
2012,15017,"Net Area Sown"
2012,10506,"Area Sown more than once"
2012,21755,"Gross Cropped Area"
2013,30756,"Total Geographical Area"
2013,95,"Area Under Forest"
2013,8692,"Land Not Available for Cultivation"
2013,2126,"Land put to Non Agriculture use"
2013,1387,"Barren and  Uncultivable Land"
2013,1286,"Permanent Pastures and Grazing Land"
2013,20,"Land Under Miscellaneous Trees, Crops and Groves not included"
2013,1025,"Cultivable Waste Land in not Area Sown"
2013,493,"Follow land Other than Current Follows"
2013,375,"Current Follows"
2013,15352,"Net Area Sown"
2013,7778,"Area Sown more than once"
2013,23130,"Gross Cropped Area"
